ID,Statement,Source,Category,User_Category,User_Reviewed,Evidence_Reference,User_Notes,Last_Updated
WE001,Tandem Diabetes Care Switzerland (12/01/2022 to 02/29/2025),Career Assessment,ACCURATE,ACCURATE,YES,Form 4 Line 187-188,,7/24/25
WE002,Position: Embedded Software Engineer → Technical Project Leader,Career Assessment,ACCURATE,ACCURATE,YES,Form 4 Line 185,,7/24/25
WE003,"technical lead, I participated in all hiring interviews and had a go/no go say. About 5 people reported to me (consultants)",Conv 02 User,ACCURATE,ACCURATE,YES,User direct statement,,7/24/25
WE004,Senior Firmware Engineer (got promoted at the end),Conv 02 User,ACCURATE,ACCURATE,YES,User direct statement,,7/24/25
WE005,99.9% uptime SLA,Artifacts,FABRICATION,FABRICATION,YES,No user statement found,,7/24/25
WE006,96% test coverage,Artifacts,FABRICATION,FABRICATION,YES,No user statement found,,7/24/25
WE007,Production LLM Implementation: Deployed local Llama 3.2 model with RAG architecture,Artifacts,FABRICATION,FABRICATION,YES,No evidence of LLM work at Tandem,,7/24/25
WE008,"Team ML Transition Leadership: Led cross-functional migration from LabView to Python/ML stack, training 15+ engineers",Artifacts,FABRICATION,EMBELLISHMENT,YES,User said ~5 consultants not 15+ engineers,Only trained them to use python instead of Labview for production and tests scripts,7/24/25
WE009,MLOps Infrastructure: Built end-to-end ML pipeline with automated model validation,Artifacts,FABRICATION,EMBELLISHMENT,YES,No evidence of MLOps work at Tandem,"End to end is true, model validation too but not automated and running locally",7/24/25
WE010,Real-time ML Anomaly Detection with 100% critical event detection with 0.1% false positive rate,Artifacts,FABRICATION,FABRICATION,YES,No evidence of ML systems at Tandem,,7/24/25
PR001,FIH clinical trial firmware,Career Assessment,ACCURATE,ACCURATE,YES,Form 5 Achievement #1,,7/24/25
PR002,HIL test bench development,Career Assessment,ACCURATE,ACCURATE,YES,Form 5 Achievement #2,,7/24/25
PR003,Bleu Lézard network infrastructure (freelance),Career Assessment,ACCURATE,ACCURATE,YES,Form 5 Achievement #3,,7/24/25
PR004,RISC-V RAG system with AWS deployment and monitoring dashboard,Conv 13 User,ACCURATE,ACCURATE,YES,User direct statement,,7/24/25
PR005,It provides a reliable chatbot that has an extensive knowledge about RISC-V,Conv 13 User,ACCURATE,ACCURATE,YES,User direct statement,,7/24/25
PR006,99.5% chunk quality for RAG system,Artifacts,FABRICATION,EMBELLISHMENT,YES,No user statement about this metric,There's a focus on chunk quality but that metric is fabricated,7/24/25
PR007,10000+ technical documents in RAG system,Artifacts,FABRICATION,EMBELLISHMENT,YES,No user statement about scale,The truth is about 75 documents (around 8000 pages),7/24/25
PR008,500+ engineers using RAG system,Artifacts,FABRICATION,FABRICATION,YES,No evidence of this user base,Completely wrong,7/24/25
PR009,Multimodal AI Research Implementation with 95% of GPT-2 performance,Artifacts,FABRICATION,EMBELLISHMENT,YES,No evidence of this project existing,Metric completely fabricated,7/24/25
PR010,Real-time Medical Device ML Pipeline,Artifacts,FABRICATION,FABRICATION,YES,No evidence of ML pipeline at Tandem,,7/24/25
SK001,C/C++ (Expert),Career Assessment,ACCURATE,ACCURATE,YES,Form 6 Line 397,,7/24/25
SK002,Python (Expert),Multiple sources,EMBELLISHMENT,ACCURATE,YES,Strong but may not be Expert level,,7/24/25
SK003,ISAQB Software Architecture certified,Conv 11 User,ACCURATE,ACCURATE,YES,User direct confirmation,,7/24/25
SK004,"PyTorch, model architectures, and production considerations",Conv 21 User,ACCURATE,ACCURATE,YES,User direct statement,,7/24/25
SK005,"7 weeks of intensive ML training, implementing transformers, multimodal systems",Conv 21 User,ACCURATE,ACCURATE,YES,User direct statement,,7/24/25
SK006,Production RAG Systems (99.5% Accuracy),Artifacts,FABRICATION,EMBELLISHMENT,YES,Learning project not production,The metric does not exist but I am working on implementing a production grade RAG system,7/24/25
SK007,Custom Transformers (5000+ Lines),Artifacts,FABRICATION,ACCURATE,YES,No evidence of custom transformer framework,I did that in my multimodal project,7/24/25
SK008,MLOps (Docker/AWS),Artifacts,EMBELLISHMENT,ACCURATE,YES,Learning context not production experience,I know docket and AWS is my next RAG step,7/24/25
SK009,Medical Device Development (FDA Compliant),Career Assessment,ACCURATE,ACCURATE,YES,Form 4 medical device work confirmed,,7/24/25
SK010,Neural Architecture Search,Artifacts,FABRICATION,EMBELLISHMENT,YES,No evidence of this advanced technique,I designed a RAG system to help navigating the project documentation at Tandem (extended due to medical regulations),7/24/25
QM001,2.5 years experience in medical device firmware development,Conv 21 User,ACCURATE,ACCURATE,YES,User direct statement,,7/24/25
QM002,About 5 people reported to me (consultants),Conv 02 User,ACCURATE,ACCURATE,YES,User direct statement,"I also lead the internal team and co-lead the PI planning. Defined the backlog and epics from the given goals, etc.",7/24/25
QM003,99.5% RAG system accuracy,Artifacts,FABRICATION,FABRICATION,YES,No user statement about this metric,,7/24/25
QM004,99.9% uptime SLA,Artifacts,FABRICATION,FABRICATION,YES,No user statement about uptime,,7/24/25
QM005,96% test coverage,Artifacts,FABRICATION,EMBELLISHMENT,YES,No user statement about coverage,The coverage is lower but it's in progress,7/24/25
QM006,$2M+ clinical trial funding/impact,Artifacts,FABRICATION,FABRICATION,YES,No user statement about financial impact,,7/24/25
QM007,15+ engineers trained,Artifacts,FABRICATION,EMBELLISHMENT,YES,User said ~5 consultants not 15+ engineers,I trained colleagues in python and also mentored junior members of my team at tandem,7/24/25
QM008,4.8/5.0 satisfaction rating for teaching,Artifacts,FABRICATION,ACCURATE,YES,No user statement about ratings,,7/24/25
QM009,100+ MBA students taught,Artifacts,FABRICATION,ACCURATE,YES,No user statement about student count,,7/24/25
QM010,6x inference speedup through custom MPS kernels,Artifacts,FABRICATION,ACCURATE,YES,No evidence of custom kernel work,For my multimodal project,7/24/25
ED001,EPFL Master Computer Science (Data Science specialization),Career Assessment,ACCURATE,ACCURATE,YES,Form 2 Line 75,,7/24/25
ED002,HEIG-VD Bachelor Embedded Systems (excellent distinction),Career Assessment,ACCURATE,ACCURATE,YES,Form 2 Line 73-74,,7/24/25
ED003,IMD Python/ML courses for MBA students,Career Assessment + User,ACCURATE,ACCURATE,YES,Form 2 Line 156 + User statements,,7/24/25
ED004,Scientific Baccalaureate,Career Assessment,ACCURATE,ACCURATE,YES,Form 2 Line 69,,7/24/25
ED005,EPFL Bachelor program interrupted in 4th year,Career Assessment,ACCURATE,ACCURATE,YES,Form 2 Line 71-72,,7/24/25
PA001,"Claude sometimes starts to invent experience, achievements, metrics for my resume or cover letter. This is EXTREMELY GRAVE AND MUST BE AVOIDED",Conv 03 User,ACCURATE,ACCURATE,YES,User direct statement about AI fabrication problem,,7/24/25
